user_id,total_spend,active_days,avg_order_value
81036435.1157569602,1530.0,1,1530.0
15046526.4562004600,1424.0,1,1424.0
8083450.3844124226,1404.0,1,1404.0
60695124.4742262801,1260.0,2,630.0
7134559299.4601048201,1200.0,1,1200.0
12306432.7939489449,1170.0,1,1170.0
5645225.6917653454,1121.0,1,1121.0
78221431.2724111930,1049.0,2,524.5
51248671.8133898155,998.0,1,998.0
12291446.3815334458,976.0,4,244.0
41474740.1017155695,904.0,1,904.0
2566418.5535518831,865.0,1,865.0
5113443.5387152232,858.0,2,429.0
99387700.1672480666,817.0,2,408.5
39388951.3688006674,806.0,1,806.0
10295267.8818269139,794.0,2,397.0
2278219.0388083386,784.0,1,784.0
3833171.6184728360,771.0,1,771.0
71706603.2631255790,768.0,1,768.0
1621120.1060958458,758.0,1,758.0
4484520.5210961028,752.0,1,752.0
63177378.7681474242,744.0,1,744.0
1033085.6917088117,712.0,1,712.0
7019543.7153257093,708.0,1,708.0
2768703.4866675938,704.0,1,704.0
1532927.6404323781,683.0,1,683.0
13141816.1294900403,680.0,1,680.0
26064119.0281069258,678.0,1,678.0
41025522.7163055341,676.0,2,338.0
6822684.1627482502,671.0,1,671.0
88827381.9303945281,669.0,2,334.5
40810614.6993876384,656.0,1,656.0
30220372.7620678894,646.0,1,646.0
33534334.2982237665,618.0,1,618.0
87100826.2061583108,605.0,1,605.0
5766379.6658996628,600.0,1,600.0
48879002.2084859201,588.0,1,588.0
2167403.7906456200,580.0,2,290.0
37930099.3763917539,576.0,1,576.0
7285756326.1533513847,570.0,1,570.0
2049470.1567030647,565.0,2,282.5
18210686.3272655150,551.0,1,551.0
63264809.7446857295,544.0,2,272.0
78499362.4704274874,540.0,1,540.0
25363504.9539525923,536.0,1,536.0
1279990.2790569705,532.0,2,266.0
11276007.4623855146,529.0,2,264.5
27071010.1715411752,525.0,1,525.0
79509844.1081277926,522.0,3,174.0
3938933.9449134391,522.0,1,522.0
50054690.0206427992,518.0,1,518.0
3883375.8924071243,517.0,2,258.5
2808102.2330574481,517.0,2,258.5
45732822.6958771748,514.0,1,514.0
8156646657.1507119761,508.0,1,508.0
97950097.5837353470,491.0,4,122.75
51608821.0291355400,490.0,2,245.0
54019036.7189560758,490.0,1,490.0
84288512.1820202145,484.0,1,484.0
8635951.7155332526,484.0,2,242.0
2095299.8404862362,483.0,2,241.5
89140417.9002672475,480.0,1,480.0
28202253.7064162636,478.0,2,239.0
38970589.1095437937,477.0,1,477.0
35710256.3477753994,474.0,1,474.0
2660071.6760619641,466.0,2,233.0
11495471.0749512812,465.0,1,465.0
5373799.6097004022,462.0,2,231.0
91694984.1982284598,461.0,3,153.66666666666666
53406211.8724008214,460.0,2,230.0
47567788.3779803485,456.0,1,456.0
1482564.3987701428,453.0,3,151.0
5637710.4936907752,452.0,1,452.0
1440737.0883647632,450.0,1,450.0
2972042.1160295830,449.0,1,449.0
43678268.2433515488,446.0,1,446.0
7680193331.8740202405,443.0,1,443.0
80921507.1393350408,438.0,2,219.0
5002058.4107238120,437.0,2,218.5
7634543.7021985089,431.0,2,215.5
87666696.5302025907,427.0,2,213.5
30675676.3150878065,424.0,1,424.0
67242982.0432343274,423.0,1,423.0
1415699.2356865981,416.0,3,138.66666666666666
4376619.9958221943,408.0,1,408.0
80208775.3915875119,406.0,3,135.33333333333334
25335187.2299023217,405.0,2,202.5
3099934.0263391283,404.0,1,404.0
8822878673.4974906772,398.0,3,132.66666666666666
9431683.5830577678,396.0,1,396.0
72275845.1755516158,395.0,1,395.0
2275313.5266564172,394.0,1,394.0
58881820.3673642140,393.0,2,196.5
5299488.0522490006,390.0,3,130.0
1793657.4173240079,386.0,1,386.0
32820105.2111076078,386.0,1,386.0
13756133.7762491194,384.0,2,192.0
36794743.0115266107,384.0,1,384.0
9073224.2742948399,384.0,2,192.0
3327202.0943712796,378.0,2,189.0
73714607.3371536902,377.0,1,377.0
39602761.4128729087,376.0,2,188.0
3175490.8020123919,376.0,1,376.0
31556860.5592810420,376.0,1,376.0
40953348.8523432987,375.0,1,375.0
3381037907.7217581644,374.0,1,374.0
59283995.2508616440,374.0,2,187.0
70274582.7964868916,370.0,1,370.0
59150872.6355994877,365.0,2,182.5
7479349.1949480609,364.0,1,364.0
5244179.4867323211,362.0,1,362.0
1663781.3078124746,361.0,2,180.5
44080603.5651121314,361.0,1,361.0
81834479.5125091790,359.0,1,359.0
6449198.2526522279,355.0,1,355.0
3018471.2187154322,354.0,3,118.0
38420537.7216639441,354.0,1,354.0
5945718.9383173023,354.0,1,354.0
53709875.3635794172,353.0,1,353.0
3282203.4038192177,352.0,1,352.0
4570994.5660099908,351.0,2,175.5
34715004.0442654743,350.0,1,350.0
3518681.5571822382,347.0,1,347.0
74208315.1089315761,345.0,1,345.0
8673800.8985723616,342.0,1,342.0
85305313.7561330759,341.0,1,341.0
31825674.2113685011,336.0,1,336.0
81335886.8473727587,336.0,1,336.0
3578162.0623899917,331.0,2,165.5
8579252.3506286297,330.0,1,330.0
57471045.2261985947,326.0,1,326.0
49288108.7792907743,325.0,1,325.0
16291219.8111422394,325.0,2,162.5
55194119.6469234549,325.0,1,325.0
7722668.2787414860,324.0,1,324.0
27314189.0356814830,323.0,1,323.0
28624446.9980540301,322.0,1,322.0
4819495.8466668365,322.0,1,322.0
6488582.8788491425,322.0,1,322.0
71563215.6886463640,320.0,2,160.0
3122197.9178413688,320.0,1,320.0
3414474.3739440974,318.0,1,318.0
7254379.8573622074,318.0,3,106.0
44208623.4340317802,317.0,2,158.5
