week_start_date,weekly_revenue
2020-10-26,773.0
2020-11-02,21820.0
2020-11-09,23624.0
2020-11-16,38156.0
2020-11-23,47897.0
2020-11-30,42948.0
2020-12-07,59865.0
2020-12-14,47302.0
2020-12-21,14716.0
2020-12-28,10267.0
2021-01-04,9465.0
2021-01-11,13188.0
2021-01-18,26598.0
2021-01-25,5546.0
