user_id,total_spend,pct_rank,cumulative_revenue_ratio
81036435.1157569602,1530.0,1.0,1.0
15046526.4562004600,1424.0,0.9997539975399754,0.99577540623748839
8083450.3844124226,1404.0,0.99950799507995081,0.99184349674871952
60695124.4742262801,1260.0,0.99926199261992621,0.98796681070782655
7134559299.4601048201,1200.0,0.99901599015990161,0.98448773349164054
12306432.7939489449,1170.0,0.998769987699877,0.98117432661908244
5645225.6917653454,1121.0,0.99852398523985242,0.97794375491833829
78221431.2724111930,1049.0,0.99827798277982782,0.97484848066489027
51248671.8133898155,998.0,0.99803198031980322,0.97195201082379579
12291446.3815334458,976.0,0.99778597785977863,0.969196360774785
41474740.1017155695,904.0,0.997539975399754,0.96650145651843777
2566418.5535518831,865.0,0.99729397293972943,0.964005356674444
5113443.5387152232,858.0,0.99704797047970484,0.96161694255380836
99387700.1672480666,817.0,0.99680196801968024,0.95924785663992929
39388951.3688006674,806.0,0.99655596555965564,0.95699197879419606
10295267.8818269139,794.0,0.996309963099631,0.95476647384479452
2278219.0388083386,784.0,0.99606396063960645,0.9525741029641186
3833171.6184728360,771.0,0.99581795817958174,0.95040934380738062
71706603.2631255790,768.0,0.99557195571955714,0.948280479891762
1621120.1060958458,758.0,0.99532595325953255,0.94615989949332491
4484520.5210961028,752.0,0.995079950799508,0.94406693081882564
63177378.7681474242,744.0,0.99483394833948335,0.94199052917868931
1033085.6917088117,712.0,0.99458794587945876,0.93993621691770324
7019543.7153257093,708.0,0.99434194341943416,0.9379702621733188
2768703.4866675938,704.0,0.99409594095940956,0.9360153521185095
1532927.6404323781,683.0,0.993849938499385,0.93407148675327545
13141816.1294900403,680.0,0.99360393603936037,0.93218560600831113
26064119.0281069258,678.0,0.99335793357933577,0.93030800878052822
41025522.7163055341,676.0,0.99311193111931118,0.92843593389753287
6822684.1627482502,671.0,0.99286592865928658,0.92656938135932521
88827381.9303945281,669.0,0.992619926199262,0.9247166346830864
40810614.6993876384,656.0,0.99237392373923738,0.92286941035163528
30220372.7620678894,646.0,0.99212792127921279,0.92105808126130351
33534334.2982237665,618.0,0.99188191881918819,0.9192743638949098
87100826.2061583108,605.0,0.99163591635916359,0.91756795935554236
5766379.6658996628,600.0,0.991389913899139,0.91589745005729428
48879002.2084859201,588.0,0.9911439114391144,0.91424074662101529
2167403.7906456200,580.0,0.9908979089790898,0.91261717725346181
37930099.3763917539,576.0,0.99065190651906521,0.91101569726505871
7285756326.1533513847,570.0,0.99040590405904061,0.90942526196623086
2049470.1567030647,565.0,0.990159901599016,0.90785139370176582
18210686.3272655150,551.0,0.98991389913899142,0.90629133129926964
63264809.7446857295,544.0,0.98966789667896682,0.90476992531028677
78499362.4704274874,540.0,0.98942189421894222,0.90326784752806044
25363504.9539525923,536.0,0.98917589175891762,0.90177681443540925
1279990.2790569705,532.0,0.988929889298893,0.9002968260323333
11276007.4623855146,529.0,0.98868388683886843,0.89882788231883259
27071010.1715411752,525.0,0.98843788437884383,0.89736722212251319
79509844.1081277926,522.0,0.98794587945879464,0.895917606615769
3938933.9449134391,522.0,0.98794587945879464,0.895917606615769
